hour,DE,IE,FR,PL
0,375.1,98.6,62.5,648.8
1,379.3,98.5,64.7,654.2
2,374.5,103.3,62.2,648.2
3,368.7,92.5,61.6,640.9
4,368.8,88.2,59.4,641.0
5,370.3,99.6,60.1,642.8
6,378.4,97.3,64.2,653.0
7,422.3,139.7,85.1,706.8
8,374.5,98.2,60.1,646.0
9,441.0,147.7,92.4,728.2
10,428.7,141.6,85.4,712.0
11,436.1,132.7,88.5,720.6
12,421.5,138.1,80.8,702.0
13,433.3,154.2,86.7,716.6
14,451.9,147.8,96.1,740.0
15,408.6,122.0,74.8,686.3
16,422.0,111.7,82.1,703.6
17,404.3,99.1,74.0,682.2
18,403.6,113.9,74.6,682.3
19,384.8,108.2,66.3,660.0
20,375.4,82.6,62.7,649.3
21,346.9,80.1,51.2,613.7
22,395.3,91.6,72.7,674.1
23,369.1,98.0,59.6,641.4
