day,hour,datetime,DE,IE,FR,PL
0,0,2024-01-15T00:00,400.1,74.9,75.1,680.2
0,1,2024-01-15T01:00,316.5,59.5,33.3,575.7
0,2,2024-01-15T02:00,368.5,104.9,59.2,640.6
0,3,2024-01-15T03:00,425.8,155.1,87.9,712.2
0,4,2024-01-15T04:00,342.9,41.9,46.5,608.7
0,5,2024-01-15T05:00,380.6,115.5,65.3,655.7
0,6,2024-01-15T06:00,421.2,95.5,85.6,706.5
0,7,2024-01-15T07:00,404.4,134.7,76.1,684.4
0,8,2024-01-15T08:00,366.7,100.2,56.2,636.3
0,9,2024-01-15T09:00,413.1,97.1,78.4,693.3
0,10,2024-01-15T10:00,442.8,164.1,92.5,729.6
0,11,2024-01-15T11:00,389.7,116.7,65.3,662.6
0,12,2024-01-15T12:00,492.2,205.9,116.2,790.4
0,13,2024-01-15T13:00,374.3,102.5,57.1,642.8
0,14,2024-01-15T14:00,427.2,86.7,83.7,709.1
0,15,2024-01-15T15:00,409.3,133.9,75.2,687.2
0,16,2024-01-15T16:00,337.8,72.2,40.0,598.3
0,17,2024-01-15T17:00,365.7,51.7,54.7,634.0
0,18,2024-01-15T18:00,361.9,42.8,53.8,630.2
0,19,2024-01-15T19:00,410.3,139.8,79.0,691.8
0,20,2024-01-15T20:00,369.4,66.8,59.7,641.7
0,21,2024-01-15T21:00,370.1,106.4,60.1,642.7
0,22,2024-01-15T22:00,500.6,137.0,125.3,805.8
0,23,2024-01-15T23:00,334.9,75.6,42.5,598.7
1,0,2024-01-16T00:00,350.0,88.7,50.0,617.4
1,1,2024-01-16T01:00,373.4,109.2,61.7,646.7
1,2,2024-01-16T02:00,443.4,170.5,96.7,734.3
1,3,2024-01-16T03:00,401.7,134.0,75.8,682.1
1,4,2024-01-16T04:00,348.2,87.1,49.1,615.2
1,5,2024-01-16T05:00,375.2,110.8,62.6,649.0
1,6,2024-01-16T06:00,324.3,36.5,37.2,585.4
1,7,2024-01-16T07:00,413.0,67.4,80.4,695.1
1,8,2024-01-16T08:00,332.1,69.9,38.9,593.0
1,9,2024-01-16T09:00,509.6,223.7,126.7,813.9
1,10,2024-01-16T10:00,452.5,172.5,97.3,741.7
1,11,2024-01-16T11:00,466.8,184.2,103.9,758.9
1,12,2024-01-16T12:00,409.6,92.6,74.9,687.2
1,13,2024-01-16T13:00,486.4,200.6,113.2,783.0
1,14,2024-01-16T14:00,432.4,153.5,86.3,715.6
1,15,2024-01-16T15:00,435.9,78.1,88.5,720.4
1,16,2024-01-16T16:00,425.4,148.9,83.8,707.8
1,17,2024-01-16T17:00,445.9,168.0,94.8,734.3
1,18,2024-01-16T18:00,433.0,81.7,89.3,719.0
1,19,2024-01-16T19:00,303.1,25.2,25.4,557.8
1,20,2024-01-16T20:00,393.0,74.6,71.5,671.3
1,21,2024-01-16T21:00,301.1,21.6,25.6,556.4
1,22,2024-01-16T22:00,365.4,102.2,57.7,636.7
1,23,2024-01-16T23:00,401.9,134.2,76.0,682.4
2,0,2024-01-17T00:00,399.8,132.3,74.9,679.7
2,1,2024-01-17T01:00,395.2,128.3,72.6,674.1
2,2,2024-01-17T02:00,358.7,96.3,54.3,628.3
2,3,2024-01-17T03:00,342.6,82.3,46.3,608.2
2,4,2024-01-17T04:00,440.2,167.6,95.1,730.2
2,5,2024-01-17T05:00,351.6,90.2,50.8,619.5
2,6,2024-01-17T06:00,337.8,49.4,43.9,602.3
2,7,2024-01-17T07:00,395.1,126.5,71.4,672.7
2,8,2024-01-17T08:00,372.0,104.7,58.8,642.8
2,9,2024-01-17T09:00,406.9,133.9,75.3,685.6
2,10,2024-01-17T10:00,391.6,119.3,66.9,665.6
2,11,2024-01-17T11:00,411.9,76.1,76.4,690.3
2,12,2024-01-17T12:00,417.5,140.5,78.9,697.0
2,13,2024-01-17T13:00,467.8,184.3,103.9,759.8
2,14,2024-01-17T14:00,457.6,78.5,98.9,747.1
2,15,2024-01-17T15:00,450.9,170.3,96.0,739.1
2,16,2024-01-17T16:00,432.2,74.9,87.2,716.4
2,17,2024-01-17T17:00,337.9,73.5,40.8,599.3
2,18,2024-01-17T18:00,359.4,93.8,52.5,627.1
2,19,2024-01-17T19:00,372.1,106.4,60.0,644.0
2,20,2024-01-17T20:00,369.5,105.8,59.7,641.9
2,21,2024-01-17T21:00,370.1,106.4,60.1,642.6
2,22,2024-01-17T22:00,320.7,63.1,35.4,580.9
2,23,2024-01-17T23:00,384.7,119.1,67.4,660.9
3,0,2024-01-18T00:00,404.5,136.5,77.3,685.7
3,1,2024-01-18T01:00,351.9,41.6,50.9,619.8
3,2,2024-01-18T02:00,401.5,85.6,75.7,681.9
3,3,2024-01-18T03:00,404.0,61.6,77.0,685.0
3,4,2024-01-18T04:00,368.5,56.8,59.2,640.6
3,5,2024-01-18T05:00,371.8,107.8,60.9,644.7
3,6,2024-01-18T06:00,383.1,117.7,66.6,658.9
3,7,2024-01-18T07:00,473.2,194.9,110.5,770.4
3,8,2024-01-18T08:00,401.6,130.6,73.6,679.8
3,9,2024-01-18T09:00,415.3,71.7,79.5,696.0
3,10,2024-01-18T10:00,440.2,161.8,91.2,726.4
3,11,2024-01-18T11:00,420.7,143.8,80.8,701.3
3,12,2024-01-18T12:00,411.6,135.3,75.9,689.6
3,13,2024-01-18T13:00,458.6,176.3,99.3,748.2
3,14,2024-01-18T14:00,484.5,199.1,112.4,780.7
3,15,2024-01-18T15:00,379.0,107.4,60.0,649.3
3,16,2024-01-18T16:00,450.8,73.2,96.5,739.6
3,17,2024-01-18T17:00,387.3,63.4,65.6,661.1
3,18,2024-01-18T18:00,339.9,76.7,42.8,602.7
3,19,2024-01-18T19:00,387.3,75.2,67.5,663.0
3,20,2024-01-18T20:00,418.3,148.5,84.2,702.9
3,21,2024-01-18T21:00,338.6,44.1,44.3,603.2
3,22,2024-01-18T22:00,440.1,70.2,95.1,730.1
3,23,2024-01-18T23:00,319.3,61.9,34.7,579.1
4,0,2024-01-19T00:00,372.0,108.0,61.0,645.0
4,1,2024-01-19T01:00,460.7,185.6,105.4,755.9
4,2,2024-01-19T02:00,304.0,48.5,27.0,560.0
4,3,2024-01-19T03:00,417.7,148.0,83.9,702.2
4,4,2024-01-19T04:00,367.0,103.6,58.5,638.8
4,5,2024-01-19T05:00,375.4,110.9,62.7,649.2
4,6,2024-01-19T06:00,376.8,112.2,63.4,651.0
4,7,2024-01-19T07:00,401.2,131.9,74.5,680.4
4,8,2024-01-19T08:00,350.6,86.0,48.1,616.1
4,9,2024-01-19T09:00,433.8,157.4,88.8,719.2
4,10,2024-01-19T10:00,370.5,100.8,56.3,639.2
4,11,2024-01-19T11:00,411.2,88.1,76.1,689.5
4,12,2024-01-19T12:00,351.3,82.6,45.8,614.3
4,13,2024-01-19T13:00,338.8,71.5,39.4,598.5
4,14,2024-01-19T14:00,427.3,149.1,83.8,709.3
4,15,2024-01-19T15:00,401.4,127.0,71.2,677.3
4,16,2024-01-19T16:00,461.0,180.0,101.6,752.3
4,17,2024-01-19T17:00,430.7,154.7,87.2,715.2
4,18,2024-01-19T18:00,474.4,194.4,110.0,770.8
4,19,2024-01-19T19:00,416.0,144.9,81.9,698.9
4,20,2024-01-19T20:00,358.0,52.9,54.0,627.5
4,21,2024-01-19T21:00,419.0,149.1,84.5,703.7
4,22,2024-01-19T22:00,322.2,64.4,36.1,582.7
4,23,2024-01-19T23:00,409.3,140.6,79.6,691.6
5,0,2024-01-20T00:00,341.8,54.8,45.9,607.3
5,1,2024-01-20T01:00,378.9,51.7,64.4,653.6
5,2,2024-01-20T02:00,356.8,94.7,53.4,626.0
5,3,2024-01-20T03:00,259.2,20,20,504.0
5,4,2024-01-20T04:00,403.3,135.4,76.7,684.2
5,5,2024-01-20T05:00,390.5,75.8,70.2,668.1
5,6,2024-01-20T06:00,433.0,161.4,91.5,721.2
5,7,2024-01-20T07:00,441.7,167.3,94.7,731.0
5,8,2024-01-20T08:00,399.0,128.4,72.4,676.6
5,9,2024-01-20T09:00,489.2,205.9,116.5,788.4
5,10,2024-01-20T10:00,471.6,189.3,106.9,765.6
5,11,2024-01-20T11:00,508.8,221.0,124.9,811.6
5,12,2024-01-20T12:00,397.8,123.3,69.0,672.4
5,13,2024-01-20T13:00,453.3,171.6,96.6,741.6
5,14,2024-01-20T14:00,481.9,196.9,111.1,777.5
5,15,2024-01-20T15:00,380.1,108.3,60.5,650.6
5,16,2024-01-20T16:00,402.4,66.6,72.3,679.1
5,17,2024-01-20T17:00,469.3,103.4,106.5,763.5
5,18,2024-01-20T18:00,385.1,116.2,65.4,659.2
5,19,2024-01-20T19:00,362.0,97.6,54.9,631.4
5,20,2024-01-20T20:00,328.6,70.0,39.3,590.8
5,21,2024-01-20T21:00,251.6,20,20,494.5
5,22,2024-01-20T22:00,408.9,140.3,79.5,691.1
5,23,2024-01-20T23:00,372.1,108.1,61.1,645.2
6,0,2024-01-21T00:00,357.2,95.1,53.6,626.5
6,1,2024-01-21T01:00,378.8,113.9,64.4,653.5
6,2,2024-01-21T02:00,388.8,122.7,69.4,666.0
6,3,2024-01-21T03:00,330.1,46.7,40.0,592.6
6,4,2024-01-21T04:00,311.5,24.7,30.8,569.4
6,5,2024-01-21T05:00,346.8,86.0,48.4,613.5
6,6,2024-01-21T06:00,372.8,108.7,61.4,646.0
6,7,2024-01-21T07:00,427.8,155.2,87.8,713.7
6,8,2024-01-21T08:00,399.5,67.7,72.6,677.2
6,9,2024-01-21T09:00,419.0,144.5,81.4,700.7
6,10,2024-01-21T10:00,431.7,83.3,87.0,715.8
6,11,2024-01-21T11:00,443.6,99.3,92.3,729.9
6,12,2024-01-21T12:00,470.2,186.6,105.2,762.9
6,13,2024-01-21T13:00,454.1,172.3,97.1,742.6
6,14,2024-01-21T14:00,452.4,171.1,96.3,740.7
6,15,2024-01-21T15:00,403.9,129.2,72.5,680.4
6,16,2024-01-21T16:00,444.7,165.8,93.5,732.0
6,17,2024-01-21T17:00,393.1,78.7,68.4,668.2
6,18,2024-01-21T18:00,471.7,192.0,108.7,767.4
6,19,2024-01-21T19:00,443.1,168.5,95.4,732.8
6,20,2024-01-21T20:00,391.1,59.4,70.5,668.8
6,21,2024-01-21T21:00,378.1,113.4,64.1,652.7
6,22,2024-01-21T22:00,409.3,63.9,79.7,691.6
6,23,2024-01-21T23:00,361.6,46.6,55.8,632.0
